ts,equity,cash,buying_power,positions_count,net_flow_since_prev,pnl_since_prev,twr_since_prev,twr_cum,note
2026-01-10T02:29:06.036792+00:00,830.170000,313.580000,313.580000,8,,,,0.00000000,fund start
2026-01-13T19:35:27.224022+00:00,868.510000,2.330000,2.330000,7,0.000000,38.340000,0.04618331,0.04618331,
2026-01-13T19:59:38.792295+00:00,867.920000,2.330000,2.330000,7,100.000000,-100.590000,-0.11581905,-0.07498464,
2026-01-14T00:59:10.556088+00:00,954.100000,498.890000,498.890000,5,0.000000,86.180000,0.09929487,0.01686464,
2026-01-14T20:17:13.822186+00:00,1032.160000,379.960000,379.960000,5,0.000000,78.060000,0.08181532,0.10005975,
2026-01-15T22:39:52.184655+00:00,1009.240000,193.980000,193.980000,6,0.000000,-22.920000,-0.02220586,0.07563198,
2026-01-16T18:31:50.791036+00:00,961.970000,34.190000,9.180000,7,0.000000,-47.270000,-0.04683722,0.02525236,
2026-01-16T19:47:08.831141+00:00,964.480000,34.190000,34.190000,7,0.000000,2.510000,0.00260923,0.02792748,
2026-01-16T19:47:11.731348+00:00,964.480000,34.190000,34.190000,7,0.000000,0.000000,0.00000000,0.02792748,
2026-01-16T21:00:21.701780+00:00,972.430000,34.190000,6.180000,7,0.000000,7.950000,0.00824278,0.03640046,
2026-01-16T21:00:37.395595+00:00,972.430000,34.190000,6.180000,7,0.000000,0.000000,0.00000000,0.03640046,
2026-01-16T21:54:03.391718+00:00,974.970000,34.190000,34.190000,7,0.000000,2.540000,0.00261201,0.03910755,
