date,close
2020-01-02,30.5
2020-01-03,30.9
2020-01-06,31.24
2020-01-07,31.36
2020-01-08,31.12
2020-01-09,30.92
2020-01-10,31.14
2020-01-13,30.9
2020-01-14,30.86
2020-01-15,31.04
2020-01-16,31
2020-01-17,31.04
2020-01-21,31.1
2020-01-22,31.08
2020-01-23,31.18
2020-01-24,31.34
2020-01-27,31.56
2020-01-28,31.28
2020-01-29,31.44
2020-01-30,31.46
2020-01-31,31.66
2020-02-03,31.44
2020-02-04,31
2020-02-05,31.04
2020-02-06,31.22
2020-02-07,31.32
2020-02-10,31.4
2020-02-11,31.28
2020-02-12,31.24
2020-02-13,31.42
2020-02-14,31.58
2020-02-18,31.98
2020-02-19,32.16
2020-02-20,32.28
2020-02-21,32.8
2020-02-24,33.1
2020-02-25,32.52
2020-02-26,32.66
2020-02-27,32.64
2020-02-28,31.48
2020-03-02,31.62
2020-03-03,32.62
2020-03-04,32.66
2020-03-05,33.36
2020-03-06,33.38
2020-03-09,33.48
2020-03-10,32.76
2020-03-11,32.64
2020-03-12,31.32
2020-03-13,30.38
2020-03-16,30.08
2020-03-17,30.48
2020-03-18,29.82
2020-03-19,29.28
2020-03-20,29.72
2020-03-23,31
2020-03-24,32.5
2020-03-25,32.1
2020-03-26,32.56
2020-03-27,32.34
2020-03-30,32.38
2020-03-31,31.44
2020-04-01,31.68
2020-04-02,32.22
2020-04-03,32.42
2020-04-06,33.22
2020-04-07,33.14
2020-04-08,32.82
2020-04-09,33.58
2020-04-13,34.28
2020-04-14,34.48
2020-04-15,34.42
2020-04-16,34.3
2020-04-17,33.58
2020-04-20,33.84
2020-04-21,33.62
2020-04-22,34.24
2020-04-23,34.54
2020-04-24,34.5
2020-04-27,34.3
2020-04-28,34.1
2020-04-29,34.24
2020-04-30,33.68
2020-05-01,33.92
2020-05-04,33.98
2020-05-05,34.14
2020-05-06,33.72
2020-05-07,34.22
2020-05-08,34.04
2020-05-11,33.84
2020-05-12,33.94
2020-05-13,34.24
2020-05-14,34.56
2020-05-15,34.8
2020-05-18,34.54
2020-05-19,34.82
2020-05-20,34.9
2020-05-21,34.42
2020-05-22,34.62
2020-05-26,34.14
2020-05-27,34.16
2020-05-28,34.3
2020-05-29,34.54
2020-06-01,34.68
2020-06-02,34.48
2020-06-03,33.86
2020-06-04,34.22
2020-06-05,33.5
2020-06-08,33.84
2020-06-09,34.18
2020-06-10,34.68
2020-06-11,34.46
2020-06-12,34.52
2020-06-15,34.4
2020-06-16,34.4
2020-06-17,34.48
2020-06-18,34.4
2020-06-19,34.78
2020-06-22,35.02
2020-06-23,35.28
2020-06-24,35.22
2020-06-25,35.18
2020-06-26,35.3
2020-06-29,35.32
2020-06-30,35.52
2020-07-01,35.34
2020-07-02,35.42
2020-07-06,35.6
2020-07-07,35.84
2020-07-08,36.1
2020-07-09,35.98
2020-07-10,35.9
2020-07-13,35.9
2020-07-14,36.1
2020-07-15,36.12
2020-07-16,35.8
2020-07-17,36.08
2020-07-20,36.28
2020-07-21,36.7
2020-07-22,37.28
2020-07-23,37.58
2020-07-24,37.96
2020-07-27,38.66
2020-07-28,39
2020-07-29,39.3
2020-07-30,38.96
2020-07-31,39.38
2020-08-03,39.4
2020-08-04,40.22
2020-08-05,40.62
2020-08-06,41.14
2020-08-07,40.46
2020-08-10,40.34
2020-08-11,38.2
2020-08-12,38.04
2020-08-13,38.92
2020-08-14,38.74
2020-08-17,39.56
2020-08-18,39.94
2020-08-19,38.68
2020-08-20,38.92
2020-08-21,38.62
2020-08-24,38.38
2020-08-25,38.42
2020-08-26,38.92
2020-08-27,38.44
2020-08-28,39.12
2020-08-31,39.22
2020-09-01,39.26
2020-09-02,38.72
2020-09-03,38.46
2020-09-04,38.56
2020-09-08,38.48
2020-09-09,38.82
2020-09-10,38.7
2020-09-11,38.68
2020-09-14,39
2020-09-15,38.9
2020-09-16,39.02
2020-09-17,38.8
2020-09-18,38.84
2020-09-21,38.1
2020-09-22,37.9
2020-09-23,37.08
2020-09-24,37.24
2020-09-25,37.12
2020-09-28,37.5
2020-09-29,37.82
2020-09-30,37.6
2020-10-01,37.94
2020-10-02,37.88
2020-10-05,38.08
2020-10-06,37.62
2020-10-07,37.6
2020-10-08,37.74
2020-10-09,38.42
2020-10-12,38.32
2020-10-13,37.72
2020-10-14,37.8
2020-10-15,37.98
2020-10-16,37.86
2020-10-19,37.84
2020-10-20,38.04
2020-10-21,38.34
2020-10-22,37.96
2020-10-23,37.92
2020-10-26,37.9
2020-10-27,38.02
2020-10-28,37.38
2020-10-29,37.24
2020-10-30,37.42
2020-11-02,37.76
2020-11-03,37.98
2020-11-04,37.96
2020-11-05,38.84
2020-11-06,38.9
2020-11-09,37.18
2020-11-10,37.3
2020-11-11,37.14
2020-11-12,37.36
2020-11-13,37.58
2020-11-16,37.6
2020-11-17,37.48
2020-11-18,37.26
2020-11-19,37.2
2020-11-20,37.32
2020-11-23,36.56
2020-11-24,36
2020-11-25,35.98
2020-11-27,35.62
2020-11-30,35.4
2020-12-01,36.14
2020-12-02,36.42
2020-12-03,36.66
2020-12-04,36.58
2020-12-07,37.14
2020-12-08,37.26
2020-12-09,36.62
2020-12-10,36.58
2020-12-11,36.64
2020-12-14,36.42
2020-12-15,36.94
2020-12-16,37.12
2020-12-17,37.54
2020-12-18,37.48
2020-12-21,37.36
2020-12-22,37.08
2020-12-23,37.3
2020-12-24,37.46
2020-12-28,37.3
2020-12-29,37.44
2020-12-30,37.72
2020-12-31,37.88
2021-01-04,38.72
2021-01-05,38.82
2021-01-06,38.22
2021-01-07,38.12
2021-01-08,36.8
2021-01-11,36.76
2021-01-12,36.98
2021-01-13,36.82
2021-01-14,36.8
2021-01-15,36.34
2021-01-19,36.64
2021-01-20,37.24
2021-01-21,37.24
2021-01-22,36.92
2021-01-25,36.96
2021-01-26,36.88
2021-01-27,36.66
2021-01-28,36.68
2021-01-29,36.68
2021-02-01,37.02
2021-02-02,36.56
2021-02-03,36.5
2021-02-04,35.72
2021-02-05,36.04
2021-02-08,36.44
2021-02-09,36.54
2021-02-10,36.68
2021-02-11,36.36
2021-02-12,36.26
2021-02-16,35.72
2021-02-17,35.34
2021-02-18,35.34
2021-02-19,35.48
2021-02-22,36
2021-02-23,35.94
2021-02-24,35.9
2021-02-25,35.24
2021-02-26,34.38
2021-03-01,34.32
2021-03-02,34.5
2021-03-03,34.14
2021-03-04,33.8
2021-03-05,33.78
2021-03-08,33.46
2021-03-09,34.16
2021-03-10,34.36
2021-03-11,34.32
2021-03-12,34.32
2021-03-15,34.46
