date,close
2020-01-02,17.6954
2020-01-03,17.4521
2020-01-06,17.47
2020-01-07,17.525
2020-01-08,17.5851
2020-01-09,17.5401
2020-01-10,17.62
2020-01-13,17.92
2020-01-14,17.98
2020-01-15,17.95
2020-01-16,17.865
2020-01-17,17.87
2020-01-21,17.5
2020-01-22,17.3967
2020-01-23,17.14
2020-01-24,16.8411
2020-01-27,16.3
2020-01-28,16.2
2020-01-29,16.1058
2020-01-30,15.995
2020-01-31,15.78
2020-02-03,15.7548
2020-02-04,15.9888
2020-02-05,16.25
2020-02-06,16.3
2020-02-07,16.02
2020-02-10,16.0515
2020-02-11,16.2272
2020-02-12,16.38
2020-02-13,16.43
2020-02-14,16.325
2020-02-18,16.39
2020-02-19,16.3967
2020-02-20,16.25
2020-02-21,16.3098
2020-02-24,16.12
2020-02-25,16.039
2020-02-26,16.065
2020-02-27,16.01
2020-02-28,15.88
2020-03-02,16.3501
2020-03-03,16.1887
2020-03-04,16.1883
2020-03-05,16.0497
2020-03-06,16.01
2020-03-09,15.58
2020-03-10,15.9005
2020-03-11,15.5512
2020-03-12,15.31
2020-03-13,15.5739
2020-03-16,14.92
2020-03-17,14.4993
2020-03-18,13.5
2020-03-19,13.54
2020-03-20,13.32
2020-03-23,13.03
2020-03-24,13.74
2020-03-25,13.79
2020-03-26,13.6797
2020-03-27,13.59
2020-03-30,13.57
2020-03-31,13.86
2020-04-01,13.57
2020-04-02,13.86
2020-04-03,13.6942
2020-04-06,13.83
2020-04-07,14.14
2020-04-08,14.25
2020-04-09,14.62
2020-04-13,14.61
2020-04-14,14.8741
2020-04-15,14.5812
2020-04-16,14.5449
2020-04-17,14.75
2020-04-20,14.47
2020-04-21,14.2
2020-04-22,14.465
2020-04-23,14.455
2020-04-24,14.77
2020-04-27,14.9051
2020-04-28,14.785
2020-04-29,15
2020-04-30,14.95
2020-05-01,14.55
2020-05-04,14.8
2020-05-05,14.7616
2020-05-06,14.9299
2020-05-07,14.92
2020-05-08,15.2999
