date,close
2020-01-02,15.97
2020-01-03,16.16
2020-01-06,16.19
2020-01-07,16.18
2020-01-08,15.94
2020-01-09,15.87
2020-01-10,15.87
2020-01-13,15.75
2020-01-14,15.82
2020-01-15,15.74
2020-01-16,15.72
2020-01-17,15.77
2020-01-21,15.68
2020-01-22,15.47
2020-01-23,15.34
2020-01-24,15.11
2020-01-27,14.83
2020-01-28,14.9
2020-01-29,14.83
2020-01-30,14.7
2020-01-31,14.58
2020-02-03,14.31
2020-02-04,14.33
2020-02-05,14.55
2020-02-06,14.61
2020-02-07,14.53
2020-02-10,14.4
2020-02-11,14.45
2020-02-12,14.65
2020-02-13,14.66
2020-02-14,14.65
2020-02-18,14.76
2020-02-19,14.9
2020-02-20,14.84
2020-02-21,14.78
2020-02-24,14.5
2020-02-25,14.23
2020-02-26,14.09
2020-02-27,13.85
2020-02-28,13.61
2020-03-02,13.92
2020-03-03,13.95
2020-03-04,13.96
2020-03-05,13.81
2020-03-06,13.36
2020-03-09,12.32
2020-03-10,12.71
2020-03-11,12.48
2020-03-12,11.98
2020-03-13,12.11
2020-03-16,11.38
2020-03-17,11.2
2020-03-18,10.83
2020-03-19,11.06
2020-03-20,10.94
2020-03-23,11.07
2020-03-24,11.31
2020-03-25,11.5
2020-03-26,11.46
2020-03-27,11.42
2020-03-30,11.39
2020-03-31,11.25
2020-04-01,10.93
2020-04-02,11.14
2020-04-03,11.42
2020-04-06,11.48
2020-04-07,11.56
2020-04-08,11.53
2020-04-09,11.56
2020-04-13,11.76
2020-04-14,11.66
2020-04-15,11.42
2020-04-16,11.39
2020-04-17,11.44
2020-04-20,11.25
2020-04-21,10.72
2020-04-22,10.87
2020-04-23,10.84
2020-04-24,10.7
2020-04-27,10.5
2020-04-28,10.51
2020-04-29,10.7
2020-04-30,10.9
2020-05-01,10.76
2020-05-04,10.89
2020-05-05,11.17
2020-05-06,10.95
2020-05-07,11.02
2020-05-08,11.25
2020-05-11,11.1
2020-05-12,11.01
2020-05-13,10.9
2020-05-14,11.09
2020-05-15,11.2
2020-05-18,11.52
2020-05-19,11.49
2020-05-20,11.69
2020-05-21,11.64
2020-05-22,11.55
2020-05-26,11.67
2020-05-27,11.52
2020-05-28,11.58
2020-05-29,11.78
2020-06-01,11.85
2020-06-02,11.98
2020-06-03,11.98
2020-06-04,12.08
2020-06-05,12.32
2020-06-08,12.24
2020-06-09,12.28
2020-06-10,12.36
2020-06-11,11.96
2020-06-12,12.01
2020-06-15,12.12
2020-06-16,12.22
2020-06-17,12.16
2020-06-18,12.23
2020-06-19,12.33
2020-06-22,12.46
2020-06-23,12.4
2020-06-24,12.09
2020-06-25,12.2
2020-06-26,12.05
2020-06-29,12.25
2020-06-30,12.31
2020-07-01,12.41
2020-07-02,12.46
2020-07-06,12.56
2020-07-07,12.57
2020-07-08,12.73
2020-07-09,12.58
2020-07-10,12.66
2020-07-13,12.53
2020-07-14,12.59
2020-07-15,12.74
2020-07-16,12.64
2020-07-17,12.66
2020-07-20,12.65
2020-07-21,12.83
2020-07-22,12.91
2020-07-23,12.88
2020-07-24,12.9
2020-07-27,13.02
2020-07-28,12.95
2020-07-29,13.02
2020-07-30,12.87
2020-07-31,12.94
2020-08-03,13.07
2020-08-04,13.14
2020-08-05,13.25
2020-08-06,13.35
2020-08-07,13.17
2020-08-10,13.24
2020-08-11,13.03
2020-08-12,13.17
2020-08-13,13.24
2020-08-14,13.24
2020-08-17,13.46
2020-08-18,13.49
2020-08-19,13.45
2020-08-20,13.43
2020-08-21,13.3
2020-08-24,13.37
2020-08-25,13.48
2020-08-26,13.51
2020-08-27,13.46
2020-08-28,13.55
2020-08-31,13.54
2020-09-01,13.56
2020-09-02,13.38
2020-09-03,13.26
2020-09-04,13.14
2020-09-08,12.82
2020-09-09,12.94
2020-09-10,12.81
2020-09-11,12.9
2020-09-14,12.91
2020-09-15,12.98
2020-09-16,13.22
2020-09-17,13.37
2020-09-18,13.43
2020-09-21,13.1
2020-09-22,13.04
2020-09-23,12.89
2020-09-24,12.95
2020-09-25,12.95
2020-09-28,13.06
2020-09-29,12.91
2020-09-30,13.06
2020-10-01,12.9
2020-10-02,12.74
2020-10-05,13.07
2020-10-06,13.12
2020-10-07,13.17
2020-10-08,13.3
2020-10-09,13.34
2020-10-12,13.2
2020-10-13,13.23
2020-10-14,13.32
2020-10-15,13.36
2020-10-16,13.27
2020-10-19,13.28
2020-10-20,13.43
2020-10-21,13.32
2020-10-22,13.36
2020-10-23,13.26
2020-10-26,13.07
2020-10-27,13.16
2020-10-28,12.81
2020-10-29,12.65
2020-10-30,12.65
2020-11-02,12.88
2020-11-03,12.96
2020-11-04,13.1
2020-11-05,13.16
2020-11-06,13.11
2020-11-09,13.27
2020-11-10,13.53
2020-11-11,13.52
2020-11-12,13.41
2020-11-13,13.35
2020-11-16,13.47
2020-11-17,13.51
2020-11-18,13.53
2020-11-19,13.53
2020-11-20,13.6
2020-11-23,13.64
2020-11-24,13.93
2020-11-25,14.05
2020-11-27,14.02
2020-11-30,13.94
2020-12-01,13.9
2020-12-02,13.96
2020-12-03,13.98
2020-12-04,14.04
2020-12-07,14.04
2020-12-08,14.06
2020-12-09,14.07
2020-12-10,14.28
2020-12-11,14.24
2020-12-14,14.28
2020-12-15,14.39
2020-12-16,14.47
2020-12-17,14.64
2020-12-18,14.69
2020-12-21,14.54
2020-12-22,14.38
2020-12-23,14.56
2020-12-24,14.6
2020-12-28,14.51
2020-12-29,14.55
2020-12-30,14.64
2020-12-31,14.7
2021-01-04,14.62
2021-01-05,15.03
2021-01-06,15.05
2021-01-07,15.12
2021-01-08,15.24
2021-01-11,15.13
2021-01-12,15.42
2021-01-13,15.38
2021-01-14,15.52
2021-01-15,15.3
2021-01-19,15.35
2021-01-20,15.36
2021-01-21,15.35
2021-01-22,15.09
2021-01-25,15.25
2021-01-26,15.28
2021-01-27,15.24
2021-01-28,15.17
2021-01-29,15.19
2021-02-01,15.48
2021-02-02,15.6
2021-02-03,15.71
2021-02-04,15.79
2021-02-05,15.87
2021-02-08,16.12
2021-02-09,16.18
2021-02-10,16.15
2021-02-11,16.12
2021-02-12,16.32
2021-02-16,16.54
2021-02-17,16.59
2021-02-18,16.53
2021-02-19,16.52
2021-02-22,16.89
2021-02-23,16.97
2021-02-24,17.23
2021-02-25,17.09
2021-02-26,16.73
2021-03-01,16.59
2021-03-02,16.66
2021-03-03,16.76
2021-03-04,17.02
2021-03-05,17.37
2021-03-08,17.13
2021-03-09,17.13
2021-03-10,17.24
2021-03-11,17.5
2021-03-12,17.42
2021-03-15,17.36
2021-03-16,17.29
2021-03-17,17.29
2021-03-18,16.47
2021-03-19,16.83
2021-03-22,16.8
2021-03-23,16.33
2021-03-24,16.76
2021-03-25,16.38
2021-03-26,16.77
2021-03-29,16.79
